Interface,XSI,POSIX Base,U98,U95,P96 P92,C99,C89,SVID3,BSD,LSB 1.3,OpenVMS 7.3-2
a64l(),m,xsi,m,m,.,.,.,m,.,libc,alpha
abort(),m,m,m,m,m,m,m,m,m,libc,m
abs(),m,m,m,m,m,m,m,m,m,libc,m
accept(),m,m,m,m,.,.,.,.,m,libc,m
access(),m,m,m,m,m,.,.,m,m,libc,m
acct(),.,.,.,.,.,.,.,.,.,libc,.
acosf(),m,m,.,.,.,m,.,.,.,libm,alpha
acoshf(),m,m,.,.,.,m,.,.,.,libm,alpha
acoshl(),m,m,.,.,.,m,.,.,.,libm,alpha
acosh(),m,m,m,m,.,m,.,m,m,libm,alpha
acosl(),m,m,.,.,.,m,.,.,.,libm,alpha
acos(),m,m,m,m,m,m,m,m,m,libm,m
adjtime(),.,.,.,.,.,.,.,.,.,libc,.
adjtimex(),.,.,.,.,.,.,.,.,.,libc,.
advance(),.,.,.,.,.,.,.,.,.,libc,.
aio_cancel(),o,aio,o,.,r,.,.,.,.,.,.
aio_error(),o,aio,o,.,r,.,.,.,.,.,.
aio_fsync(),o,aio,o,.,r,.,.,.,.,.,.
aio_read(),o,aio,o,.,r,.,.,.,.,.,.
aio_return(),o,aio,o,.,r,.,.,.,.,.,.
aio_suspend(),o,aio,o,.,r,.,.,.,.,.,.
aio_write(),o,aio,o,.,r,.,.,.,.,.,.
alarm(),m,m,m,m,m,.,.,m,m,libc,m
alphasort64(),.,.,.,.,.,.,.,.,.,libc(ob),.
alphasort(),.,.,.,.,.,.,.,.,.,libc(ob),.
asctime(),m,m,m,m,m,m,m,m,m,libc,m
asctime_r(),m,tsf,m,.,t,.,.,.,.,libc,m
asinf(),m,m,.,.,.,m,.,.,.,libm,alpha
asinhf(),m,m,.,.,.,m,.,.,.,libm,alpha
asinhl(),m,m,.,.,.,m,.,.,.,libm,alpha
asinh(),m,m,m,m,.,.,.,m,m,libm,alpha
asinl(),m,m,.,.,.,m,.,.,.,libm,alpha
asin(),m,m,m,m,m,m,m,m,m,libm,m
asprintf(),.,.,.,.,.,.,.,.,.,libc,.
__assert_fail(),.,.,.,.,.,.,.,.,.,libc,.
assert(),m,m,m,m,m,m,m,m,m,.,m
atan2f(),m,m,.,.,.,m,.,.,.,libm,alpha
atan2l(),m,m,.,.,.,m,.,.,.,libm,alpha
atan2(),m,m,m,m,m,m,m,m,m,libm,m
atanf(),m,m,.,.,.,m,.,.,.,libm,alpha
atanhf(),m,m,.,.,.,m,.,.,.,libm,alpha
atanhl(),m,m,.,.,.,m,.,.,.,libm,alpha
atanh(),m,m,m,m,.,m,.,m,m,libm,alpha
atanl(),m,m,.,.,.,m,.,.,.,libm,alpha
atan(),m,m,m,m,m,m,m,m,m,libm,m
atexit(),m,m,m,m,.,m,m,m,.,libc,m
atof(),m,m,m,m,m,m,m,m,m,libc,m
atoi(),m,m,m,m,m,m,m,m,m,libc,m
atoll(),m,m,.,.,.,m,.,.,.,libc,alpha
atol(),m,m,m,m,m,m,m,m,m,libc,m
authnone_create(),.,.,.,.,.,.,.,.,.,libc,.
basename(),m,xsi,m,m,.,.,.,.,.,libc,m
bcmp(),l,xsi,m,m,.,.,.,.,m,libc,m
bcopy(),l,xsi,m,m,.,.,.,.,m,libc,m
bind(),m,m,m,m,.,.,.,.,m,libc,m
bindresvport(),.,.,.,.,.,.,.,.,.,libc,.
bind_textdomain_codeset(),.,.,.,.,.,.,.,.,.,libc,.
bindtextdomain(),.,.,.,.,.,.,.,.,.,libc,.
brk(),.,.,.,.,.,.,.,.,.,libc,.
bsd_signal(),ob,xsi,m,m,.,.,.,.,.,libc,.
bsearch(),m,m,m,m,m,m,m,m,.,libc,m
btowc(),m,m,m,.,.,m,1,.,.,libc,m
bzero(),l,xsi,m,m,.,.,.,.,m,libc,m
cabsf(),m,m,.,.,.,m,.,.,.,libm,alpha
cabsl(),m,m,.,.,.,m,.,.,.,libm,alpha
cabs(),m,m,.,.,.,m,.,.,.,libm,m
cacosf(),m,m,.,.,.,m,.,.,.,libm,alpha
cacoshf(),m,m,.,.,.,m,.,.,.,libm,alpha
cacoshl(),m,m,.,.,.,m,.,.,.,libm,alpha
cacosh(),m,m,.,.,.,m,.,.,.,libm,alpha
cacosl(),m,m,.,.,.,m,.,.,.,libm,alpha
cacos(),m,m,.,.,.,m,.,.,.,libm,alpha
calloc(),m,m,m,m,m,m,m,m,m,libc,m
cargf(),m,m,.,.,.,m,.,.,.,libm,alpha
cargl(),m,m,.,.,.,m,.,.,.,libm,alpha
carg(),m,m,.,.,.,m,.,.,.,libm,alpha
casinf(),m,m,.,.,.,m,.,.,.,libm,alpha
casinhf(),m,m,.,.,.,m,.,.,.,libm,alpha
casinhl(),m,m,.,.,.,m,.,.,.,libm,alpha
casinh(),m,m,.,.,.,m,.,.,.,libm,alpha
casinl(),m,m,.,.,.,m,.,.,.,libm,alpha
casin(),m,m,.,.,.,m,.,.,.,libm,alpha
catanf(),m,m,.,.,.,m,.,.,.,libm,alpha
catanhf(),m,m,.,.,.,m,.,.,.,libm,alpha
catanhl(),m,m,.,.,.,m,.,.,.,libm,alpha
catanh(),m,m,.,.,.,m,.,.,.,libm,alpha
catanl(),m,m,.,.,.,m,.,.,.,libm,alpha
catan(),m,m,.,.,.,m,.,.,.,libm,alpha
catclose(),m,xsi,m,m,.,.,.,m,.,libc,m
catgets(),m,xsi,m,m,.,.,.,m,.,libc,m
catopen(),m,xsi,m,m,.,.,.,m,.,libc,m
cbrtf(),m,m,.,.,.,m,.,.,.,libm,alpha
cbrtl(),m,m,.,.,.,m,.,.,.,libm,alpha
cbrt(),m,m,m,m,.,m,.,m,m,libm,alpha
ccosf(),m,m,.,.,.,m,.,.,.,libm,alpha
ccoshf(),m,m,.,.,.,m,.,.,.,libm,alpha
ccoshl(),m,m,.,.,.,m,.,.,.,libm,alpha
ccosh(),m,m,.,.,.,m,.,.,.,libm,alpha
ccosl(),m,m,.,.,.,m,.,.,.,libm,alpha
ccos(),m,m,.,.,.,m,.,.,.,libm,alpha
ceilf(),m,m,.,.,.,m,.,.,.,libm,alpha
ceill(),m,m,.,.,.,m,.,.,.,libm,alpha
ceil(),m,m,m,m,m,m,m,m,m,libm,m
cexpf(),m,m,.,.,.,m,.,.,.,libm,alpha
cexpl(),m,m,.,.,.,m,.,.,.,libm,alpha
cexp(),m,m,.,.,.,m,.,.,.,libm,alpha
cfgetispeed(),m,m,m,m,m,.,.,m,.,libc,.
cfgetospeed(),m,m,m,m,m,.,.,m,.,libc,.
cfmakeraw(),.,.,.,.,.,.,.,.,.,libc,.
cfsetispeed(),m,m,m,m,m,.,.,m,.,libc,.
cfsetospeed(),m,m,m,m,m,.,.,m,.,libc,.
cfsetspeed(),.,.,.,.,.,.,.,.,.,libc,.
chdir(),m,m,m,m,m,.,.,m,m,libc,m
chmod(),m,m,m,m,m,.,.,m,m,libc,m
chown(),m,m,m,m,m,.,.,m,m,libc,m
chroot(),.,.,.,.,.,.,.,.,.,libc,.
cimagf(),m,m,.,.,.,m,.,.,.,libm,alpha
cimagl(),m,m,.,.,.,m,.,.,.,libm,alpha
cimag(),m,m,.,.,.,m,.,.,.,libm,alpha
clearerr(),m,m,m,m,m,m,m,m,m,libc,m
clnt_create(),.,.,.,.,.,.,.,.,.,libc,.
clnt_pcreateerror(),.,.,.,.,.,.,.,.,.,libc,.
clnt_perrno(),.,.,.,.,.,.,.,.,.,libc,.
clnt_perror(),.,.,.,.,.,.,.,.,.,libc,.
clnt_spcreateerror(),.,.,.,.,.,.,.,.,.,libc,.
clnt_sperrno(),.,.,.,.,.,.,.,.,.,libc,.
clnt_sperror(),.,.,.,.,.,.,.,.,.,libc,.
clock_getcpuclockid(),o,cpt,.,.,.,.,.,.,.,.,.
clock_getres(),o,tmr,o,.,r,.,.,.,.,.,alpha
clock_gettime(),o,tmr,o,.,r,.,.,.,.,.,alpha
clock(),m,m,m,m,.,m,m,m,.,libc,m
clock_nanosleep(),o,cs,.,.,.,.,.,.,.,.,.
clock_settime(),o,tmr,o,.,r,.,.,.,.,.,alpha
clog10f(),.,.,.,.,.,.,.,.,.,libm,.
clog10(),.,.,.,.,.,.,.,.,.,libm,.
clog10l(),.,.,.,.,.,.,.,.,.,libm,.
clogf(),m,m,.,.,.,m,.,.,.,libm,alpha
clogl(),m,m,.,.,.,m,.,.,.,libm,alpha
clog(),m,m,.,.,.,m,.,.,.,libm,alpha
closedir(),m,m,m,m,m,.,.,m,m,libc,m
closelog(),m,xsi,m,m,.,.,.,.,m,libc,.
close(),m,m,m,m,m,.,.,m,m,libc,m
confstr(),m,m,m,m,m,.,.,.,.,libc,m
conjf(),m,m,.,.,.,m,.,.,.,libm,alpha
conjl(),m,m,.,.,.,m,.,.,.,libm,alpha
conj(),m,m,.,.,.,m,.,.,.,libm,alpha
connect(),m,m,m,m,.,.,.,.,m,libc,m
copysignf(),m,m,.,.,.,m,.,.,.,libm,alpha
copysignl(),m,m,.,.,.,m,.,.,.,libm,alpha
copysign(),m,m,.,.,.,m,.,.,.,libm,m
cosf(),m,m,.,.,.,m,.,.,.,libm,alpha
coshf(),m,m,.,.,.,m,.,.,.,libm,alpha
coshl(),m,m,.,.,.,m,.,.,.,libm,alpha
cosh(),m,m,m,m,m,m,m,m,m,libm,m
cosl(),m,m,.,.,.,m,.,.,.,libm,alpha
cos(),m,m,m,m,m,m,m,m,m,libm,m
cpowf(),m,m,.,.,.,m,.,.,.,libm,alpha
cpowl(),m,m,.,.,.,m,.,.,.,libm,alpha
cpow(),m,m,.,.,.,m,.,.,.,libm,alpha
cprojf(),m,m,.,.,.,m,.,.,.,libm,alpha
cprojl(),m,m,.,.,.,m,.,.,.,libm,alpha
cproj(),m,m,.,.,.,m,.,.,.,libm,alpha
crealf(),m,m,.,.,.,m,.,.,.,libm,alpha
creall(),m,m,.,.,.,m,.,.,.,libm,alpha
creal(),m,m,.,.,.,m,.,.,.,libm,alpha
creat64(),.,.,.,.,.,.,.,.,.,libc,.
creat(),m,m,m,m,m,.,.,m,m,libc,m
crypt(),o,xsi,o,o,.,.,.,m,m,libcrypt,.
csinf(),m,m,.,.,.,m,.,.,.,libm,alpha
csinhf(),m,m,.,.,.,m,.,.,.,libm,alpha
csinhl(),m,m,.,.,.,m,.,.,.,libm,alpha
csinh(),m,m,.,.,.,m,.,.,.,libm,alpha
csinl(),m,m,.,.,.,m,.,.,.,libm,alpha
csin(),m,m,.,.,.,m,.,.,.,libm,alpha
csqrtf(),m,m,.,.,.,m,.,.,.,libm,alpha
csqrtl(),m,m,.,.,.,m,.,.,.,libm,alpha
csqrt(),m,m,.,.,.,m,.,.,.,libm,alpha
ctanf(),m,m,.,.,.,m,.,.,.,libm,alpha
ctanhf(),m,m,.,.,.,m,.,.,.,libm,alpha
ctanhl(),m,m,.,.,.,m,.,.,.,libm,alpha
ctanh(),m,m,.,.,.,m,.,.,.,libm,alpha
ctanl(),m,m,.,.,.,m,.,.,.,libm,alpha
ctan(),m,m,.,.,.,m,.,.,.,libm,alpha
ctermid(),m,m,m,m,m,.,.,m,.,libc,m
ctime(),m,m,m,m,m,m,m,m,m,libc,m
ctime_r(),m,tsf,m,.,t,.,.,.,.,libc,m
__ctype_b,.,.,.,.,.,.,.,.,.,libc,.
__ctype_get_mb_cur_max(),.,.,.,.,.,.,.,.,.,libc,.
__ctype_tolower,.,.,.,.,.,.,.,.,.,libc,.
__ctype_toupper,.,.,.,.,.,.,.,.,.,libc,.
cuserid(),.,.,.,.,.,.,.,.,.,libc,.
__cxa_atexit(),.,.,.,.,.,.,.,.,.,libc,.
daemon(),.,.,.,.,.,.,.,.,.,libc,.
__daylight,.,.,.,.,.,.,.,.,.,libc,.
daylight,m,xsi,m,m,.,.,.,m,.,libc,m
dbm_clearerr(),m,xsi,m,m,.,.,.,.,.,.,.
dbm_close(),m,xsi,m,m,.,.,.,.,.,.,.
